"filename", "language", "Vue", "java", "PlantUML", "comment", "blank", "total"
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/.mvn/wrapper/MavenWrapperDownloader.java", "java", 0, 76, 0, 31, 11, 118
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/BackendApplication.java", "java", 0, 9, 0, 9, 4, 22
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/config/WebMvcConfiguration.java", "java", 0, 14, 0, 0, 6, 20
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/config/uniform_response/CommonStatusCodeEnum.java", "java", 0, 23, 0, 0, 9, 32
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/config/uniform_response/CustomResponseBodyAdvice.java", "java", 0, 29, 0, 9, 6, 44
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/config/uniform_response/UnifiedResponsor.java", "java", 0, 74, 0, 27, 17, 118
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/controller/LoginController.java", "java", 0, 27, 0, 9, 8, 44
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/controller/StudentController.java", "java", 0, 64, 0, 37, 16, 117
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/controller/TeacherController.java", "java", 0, 75, 0, 20, 21, 116
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/CommentForFileRepository.java", "java", 0, 16, 0, 9, 5, 30
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/StudentFileRepository.java", "java", 0, 13, 0, 9, 5, 27
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/StudentRepository.java", "java", 0, 8, 0, 9, 4, 21
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/TeacherRepository.java", "java", 0, 8, 0, 9, 3, 20
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dto/AddFileFileListDTO.java", "java", 0, 23, 0, 18, 3, 44
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dto/CommentDTO.java", "java", 0, 56, 0, 9, 3, 68
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dto/StudentGetFileListDTO.java", "java", 0, 31, 0, 9, 1, 41
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dto/TeacherGetFileListDTO.java", "java", 0, 45, 0, 9, 13, 67
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/CommentForFileEntity.java", "java", 0, 103, 0, 0, 25, 128
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/StudentEntity.java", "java", 0, 86, 0, 9, 21, 116
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/StudentFileEntity.java", "java", 0, 103, 0, 9, 25, 137
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/TeacherEntity.java", "java", 0, 78, 0, 9, 20, 107
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/service/FileService.java", "java", 0, 38, 0, 21, 12, 71
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/service/StudentService.java", "java", 0, 55, 0, 33, 11, 99
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/service/TeacherService.java", "java", 0, 73, 0, 34, 17, 124
