"filename", "language", "java", "comment", "blank", "total"
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/.mvn/wrapper/MavenWrapperDownloader.java", "java", 76, 31, 11, 118
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/BackendApplication.java", "java", 9, 9, 4, 22
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/config/WebMvcConfiguration.java", "java", 14, 9, 7, 30
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/config/uniform_response/CommonStatusCodeEnum.java", "java", 23, 0, 9, 32
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/config/uniform_response/CustomResponseBodyAdvice.java", "java", 29, 9, 6, 44
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/config/uniform_response/UnifiedResponsor.java", "java", 74, 27, 17, 118
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/controller/AdminController.java", "java", 52, 16, 14, 82
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/controller/LoginController.java", "java", 27, 9, 8, 44
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/controller/ProfileController.java", "java", 19, 9, 11, 39
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/controller/StudentController.java", "java", 93, 19, 17, 129
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/controller/TagController.java", "java", 38, 9, 14, 61
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/controller/TeacherController.java", "java", 49, 14, 15, 78
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/AdminRepository.java", "java", 8, 24, 4, 36
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/CommentForFileRepository.java", "java", 16, 9, 5, 30
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/StudentFileRepository.java", "java", 13, 9, 5, 27
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/StudentRepository.java", "java", 8, 9, 4, 21
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/TagCommentRepository.java", "java", 9, 24, 4, 37
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/TagRepository.java", "java", 8, 18, 4, 30
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/TeacherRepository.java", "java", 8, 9, 3, 20
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dto/AddFileFileListDTO.java", "java", 23, 18, 3, 44
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dto/CommentDTO.java", "java", 56, 9, 3, 68
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dto/StudentGetFileListDTO.java", "java", 31, 9, 1, 41
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dto/TeacherGetFileListDTO.java", "java", 45, 9, 13, 67
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/AdminEntity.java", "java", 40, 9, 9, 58
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/CommentForFileEntity.java", "java", 113, 0, 27, 140
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/StudentEntity.java", "java", 93, 10, 25, 128
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/StudentFileEntity.java", "java", 111, 9, 28, 148
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/TagCommentEntity.java", "java", 50, 9, 13, 72
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/TagEntity.java", "java", 48, 9, 13, 70
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/TeacherEntity.java", "java", 77, 9, 20, 106
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/service/AdminService.java", "java", 142, 17, 28, 187
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/service/FileService.java", "java", 38, 21, 12, 71
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/service/ProfileService.java", "java", 89, 24, 13, 126
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/service/StudentService.java", "java", 74, 39, 14, 127
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/service/TagService.java", "java", 71, 12, 12, 95
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/service/TeacherService.java", "java", 89, 13, 25, 127
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/convert/Entity2DTO.java", "java", 26, 12, 4, 42
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/Controller/JwtAuthenticationController.java", "java", 97, 22, 17, 136
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/DaoAutenticationProvider/AdminDaoAuthenticationProvider.java", "java", 23, 9, 8, 40
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/DaoAutenticationProvider/StudentDaoAutenticationProvider.java", "java", 24, 26, 8, 58
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/DaoAutenticationProvider/TeacherDaoAutenticationProvider.java", "java", 24, 26, 8, 58
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/JwtAuthenticationEntryPoint.java", "java", 17, 9, 8, 34
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/JwtRequestFilter.java", "java", 93, 19, 27, 139
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/UsernamePasswordAuthenticationToken/AdminUsernamePasswordAuthenticationToken.java", "java", 7, 9, 6, 22
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/UsernamePasswordAuthenticationToken/StudentUsernamePasswordAuthenticationToken.java", "java", 7, 9, 5, 21
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/UsernamePasswordAuthenticationToken/TeacherUsernamePasswordAutenticationToken.java", "java", 7, 9, 5, 21
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/WebSecurityConfig.java", "java", 79, 55, 24, 158
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/model/JwtRequest.java", "java", 34, 10, 13, 57
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/model/JwtResponse.java", "java", 12, 0, 5, 17
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/model/UserDTO.java", "java", 24, 9, 8, 41
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/services/JwtAdminUserDetialsService.java", "java", 35, 24, 8, 67
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/services/JwtStudentUserDetailsService.java", "java", 35, 26, 10, 71
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/services/JwtTeacherUserDetailsService.java", "java", 35, 11, 7, 53
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/tools/JwtTokenUtil.java", "java", 69, 21, 17, 107
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/tools/temp.java", "java", 37, 39, 15, 91
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/test/java/com/swithun/backend/BackendApplicationTests.java", "java", 9, 0, 5, 14
"Total", "-", 2457, 834, 629, 3920
